East,North,-101_count
558070.2714775377,6122402.394133979,4.0
558069.5317272816,6122412.574048705,8.0
558067.8647840179,6122433.35599052,20.0
558067.0644120824,6122443.535111908,12.0
558066.1978532131,6122454.137933497,16.0
558056.0943748314,6122456.977579811,8.0
558068.8526100036,6122422.754757835,28.0
558056.8452081573,6122445.948674336,64.0
558057.3479645787,6122435.341087202,48.0
558057.7956513349,6122424.308212235,60.0
558058.364600367,6122413.276925485,20.0
558058.8011718392,6122403.093038975,64.0
558060.5959419424,6122372.5477327835,40.0
558059.2983753047,6122392.909946663,48.0
558059.9168420697,6122382.728442591,64.0
558061.9597080944,6122351.761819855,12.0
558061.2199722871,6122361.941735157,40.0
558062.6443744659,6122341.15661677,4.0
558065.0743447235,6122299.156330393,16.0
558063.3896748893,6122330.552208002,24.0
558064.5164925982,6122309.338626743,8.0
558065.5230989546,6122278.783003236,16.0
558065.4503021338,6122288.97165196,20.0
558065.2927330945,6122268.590384196,48.0
558065.3655283608,6122258.401735758,36.0
558063.9530828096,6122319.945417259,12.0
558065.4989559279,6122248.213881558,8.0
558065.0559330483,6122217.214708745,8.0
558065.4504847396,6122238.02364525,16.0
558065.341379558,6122227.832614997,16.0
558061.0754574026,6122173.856777901,8.0
558064.4617585507,6122207.017326223,28.0
558062.6231070458,6122185.340345691,4.0
558063.6912394713,6122196.393067854,16.0
558057.274246943,6122153.852368044,12.0
558055.3405315432,6122144.062014581,36.0
558059.329220889,6122163.644310526,4.0
558053.2910964425,6122133.845580483,28.0
558051.1148244184,6122124.052053623,64.0
558048.4170557903,6122093.872503417,4.0
558048.9496573872,6122113.409540321,4.0
558056.3829593562,6122087.608302529,12.0
558078.1620177522,6122087.04439691,12.0
558067.2477294834,6122086.901445481,68.0
558089.3794805054,6122087.191347212,16.0
558122.905033076,6122088.0552724805,8.0
558133.27360506,6122088.191205876,12.0
558154.5341920033,6122090.168278089,4.0
558143.7028118022,6122088.327958666,12.0
558165.2331564862,6122092.8560206825,16.0
558183.2125772476,6122104.55522583,48.0
558195.4804589314,6122121.698905214,4.0
558204.8210830482,6122140.0778925605,8.0
558212.3753756619,6122160.556282425,40.0
558215.5708999359,6122171.212413016,12.0
558200.219773507,6122130.252451585,16.0
558218.3419725157,6122181.862972938,36.0
558208.8160307255,6122149.895378123,140.0
558223.6562053366,6122215.8981162775,20.0
558220.5561810072,6122193.355356513,12.0
558224.6632943571,6122226.950084001,40.0
558226.203542529,6122248.198662797,20.0
558222.4121514764,6122204.41847026,16.0
558225.5546864794,6122237.575965798,44.0
558226.6098642491,6122258.81817489,32.0
558228.1849250669,6122268.179335588,32.0
558235.6691948742,6122275.495276653,32.0
558245.3146066049,6122279.867652627,12.0
558265.4802044863,6122263.57450471,32.0
558262.7447020968,6122273.303599439,12.0
558255.3189379637,6122279.999094981,4.0
558238.3941883636,6122261.944924754,32.0
558233.06827732,6122270.366309074,44.0
558247.0103012144,6122256.963307543,8.0
558224.1546190584,6122274.919478056,12.0
558194.0042689283,6122271.127091548,20.0
558174.9044166065,6122275.54666822,20.0
558183.9392859985,6122270.994991968,8.0
558204.0141920588,6122270.8339241445,16.0
558174.9886040923,6122264.509032195,16.0
558180.3602589928,6122243.351172089,12.0
558181.2326864856,6122232.323880249,8.0
